State,Structural_Exposure_Composite,Scheme,Scheme_Type,Normalization_Method,Scheme_Note,Rank,Primary_Score,Primary_Rank,Score_Delta_vs_Primary,Rank_Shift_vs_Primary
South Dakota,0.26904696925244653,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,5.0,0.2509263213097866,5.0,0.01812064794265994,0.0
Florida,0.22812072347532591,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,6.0,0.22812072347532591,6.0,0.0,0.0
Arizona,0.1404486572685868,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,7.0,0.20637024435278886,7.0,-0.06592158708420207,0.0
Minnesota,0.09347447694803039,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,8.0,0.004152869946428222,9.0,0.08932160700160217,-1.0
New Mexico,-0.008784408446436354,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,9.0,0.0721383185618106,8.0,-0.08092272700824696,1.0
Michigan,-0.04218629407854044,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,10.0,-0.1917673196079359,10.0,0.14958102552939545,0.0
Utah,-0.30239258693240695,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,11.0,-0.30239258693240695,13.0,0.0,-2.0
Oregon,-0.3231274358216625,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,12.0,-0.19718357586024285,11.0,-0.12594385996141963,1.0
Nevada,-0.3645590429330023,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,13.0,-0.21288394636967276,12.0,-0.15167509656332953,1.0
New York,-0.5222646629716201,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,14.0,-0.3176515278075324,14.0,-0.2046131351640877,0.0
Washington,-0.6588188138092863,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,15.0,-0.8236723556411192,16.0,0.16485354183183287,-1.0
Colorado,-0.67375190421782,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,16.0,-0.67375190421782,15.0,0.0,1.0
Montana,-0.9390085594216865,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,17.0,-0.9390085594216865,17.0,0.0,0.0
North Carolina,-1.2115632450149891,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,18.0,-1.3790410297418936,18.0,0.16747778472690444,0.0
Oklahoma,1.807934013920173,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,1.0,1.5065087234745833,1.0,0.30142529044558963,0.0
California,0.6606817633170827,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,2.0,0.6095660548212583,3.0,0.051115708495824475,-1.0
Idaho,0.6525313718015117,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,3.0,0.6525313718015117,2.0,0.0,1.0
New Jersey,0.6525313718015117,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,3.0,0.6525313718015117,2.0,0.0,1.0
Texas,0.6525313718015117,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,3.0,0.6525313718015117,2.0,0.0,1.0
Alaska,0.403614576752511,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,4.0,0.4085862544162295,4.0,-0.004971677663718477,0.0
New York,0.24817815184944872,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,5.0,-0.3176515278075324,14.0,0.5658296796569812,-9.0
Florida,0.22812072347532591,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,6.0,0.22812072347532591,6.0,0.0,0.0
South Dakota,0.2019565227791538,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,7.0,0.2509263213097866,5.0,-0.048969798530632797,2.0
Arizona,0.14496619178764505,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,8.0,0.20637024435278886,7.0,-0.06140405256514381,1.0
New Mexico,-0.026725806317094595,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,9.0,0.0721383185618106,8.0,-0.0988641248789052,1.0
Minnesota,-0.1136839382670023,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,10.0,0.004152869946428222,9.0,-0.11783680821343051,1.0
Utah,-0.30239258693240695,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,11.0,-0.30239258693240695,13.0,0.0,-2.0
Michigan,-0.36427952955746806,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,12.0,-0.1917673196079359,10.0,-0.17251220994953217,2.0
Oregon,-0.37120729918251183,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,13.0,-0.19718357586024285,11.0,-0.17402372332226898,2.0
Nevada,-0.3912891684387594,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,14.0,-0.21288394636967276,12.0,-0.17840522206908663,2.0
Colorado,-0.67375190421782,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,15.0,-0.67375190421782,15.0,0.0,0.0
Montana,-0.9390085594216865,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,16.0,-0.9390085594216865,17.0,0.0,-1.0
North Carolina,-1.1094130715549668,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,17.0,-1.3790410297418936,18.0,0.26962795818692675,-1.0
Washington,-1.1725301570417723,leave_out_Schools_With_Burial_Site_Flag,leave_one_indicator_out,zscore,Configured weights after removing Schools_With_Burial_Site_Flag.,18.0,-0.8236723556411192,16.0,-0.34885780140065314,2.0
Oklahoma,3.616088355673196,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,1.0,1.5065087234745833,1.0,2.1095796321986127,0.0
Arizona,1.2770651222940272,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,2.0,0.20637024435278886,7.0,1.0706948779412384,-5.0
New Mexico,1.1048525489694863,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,3.0,0.0721383185618106,8.0,1.0327142304076757,-5.0
Alaska,0.5435312520986555,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,4.0,0.4085862544162295,4.0,0.13494499768242602,0.0
South Dakota,0.5147670234838696,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,5.0,0.2509263213097866,5.0,0.263840702174083,0.0
